# Wavlength Correction_Factor
3.642799999999999727e+02 5.664212959931614222e+00
3.645000000000000000e+02 5.618567035904225015e+00
3.647099999999999795e+02 5.572775542172741403e+00
3.649200000000000159e+02 5.568297700385691940e+00
3.651399999999999864e+02 5.495201306333616031e+00
3.653500000000000227e+02 5.426295079902612173e+00
3.655600000000000023e+02 5.413767105504475374e+00
3.657699999999999818e+02 5.397539890716416267e+00
3.659900000000000091e+02 5.404561593000702935e+00
3.661999999999999886e+02 5.381207616955880013e+00
3.664100000000000250e+02 5.386415394040893645e+00
3.666200000000000045e+02 5.361968437325987047e+00
3.668399999999999750e+02 5.378118686629891343e+00
3.670500000000000114e+02 5.364197159849748431e+00
3.672599999999999909e+02 5.375734482909707346e+00
3.674700000000000273e+02 5.346532598706833284e+00
3.676899999999999977e+02 5.346964258066753573e+00
3.678999999999999773e+02 5.338156605784094566e+00
3.681100000000000136e+02 5.346426503432959443e+00
3.683299999999999841e+02 5.337365996514158439e+00
3.685400000000000205e+02 5.331381322392985567e+00
3.687500000000000000e+02 5.288476164682468728e+00
3.689599999999999795e+02 5.303521132476721078e+00
3.691800000000000068e+02 5.298570171147854779e+00
3.693899999999999864e+02 5.301728191985261240e+00
3.696000000000000227e+02 5.273188766198949828e+00
3.698100000000000023e+02 5.265867760176814905e+00
3.700299999999999727e+02 5.236622977321389705e+00
3.702400000000000091e+02 5.213379680465303423e+00
3.704499999999999886e+02 5.202691995084842702e+00
3.706600000000000250e+02 5.178278184979331122e+00
3.708700000000000045e+02 5.149978920467546573e+00
3.710899999999999750e+02 5.127614716213788171e+00
3.713000000000000114e+02 5.099506406126159241e+00
3.715099999999999909e+02 5.096342608403160668e+00
3.717200000000000273e+02 5.090772010013054683e+00
3.719399999999999977e+02 5.055871595568488530e+00
3.721499999999999773e+02 5.017568338725404864e+00
3.723600000000000136e+02 4.999205634587912783e+00
3.725699999999999932e+02 4.959314102553516790e+00
3.727900000000000205e+02 4.939584940312207628e+00
3.730000000000000000e+02 4.920483691912608037e+00
3.732099999999999795e+02 4.902593739260732164e+00
3.734200000000000159e+02 4.877430471069525986e+00
3.736399999999999864e+02 4.848119143825160293e+00
3.738500000000000227e+02 4.795302879288373177e+00
3.740600000000000023e+02 4.763235150146693186e+00
3.742699999999999818e+02 4.741865827017616830e+00
3.744800000000000182e+02 4.699217825676704763e+00
3.746999999999999886e+02 4.675372615384008057e+00
3.749100000000000250e+02 4.641650740395049546e+00
3.751200000000000045e+02 4.624971371104736662e+00
3.753299999999999841e+02 4.598686614824650576e+00
3.755500000000000114e+02 4.569164838056590128e+00
3.757599999999999909e+02 4.532541741885799169e+00
3.759700000000000273e+02 4.522854425670173484e+00
3.761800000000000068e+02 4.522886644340028184e+00
3.763899999999999864e+02 4.519142526593618925e+00
3.766100000000000136e+02 4.495388393127423221e+00
3.768199999999999932e+02 4.489074446490981529e+00
3.770299999999999727e+02 4.486049303506209895e+00
3.772400000000000091e+02 4.468127243485326971e+00
3.774599999999999795e+02 4.487214461815937305e+00
3.776700000000000159e+02 4.460942629778146262e+00
3.778799999999999955e+02 4.445700114372614919e+00
3.780899999999999750e+02 4.414252620859074661e+00
3.783000000000000114e+02 4.419030769807382519e+00
3.785199999999999818e+02 4.403800247851243022e+00
3.787300000000000182e+02 4.374759349590853219e+00
3.789399999999999977e+02 4.337931151086491965e+00
3.791499999999999773e+02 4.305601319535994342e+00
3.793600000000000136e+02 4.278041611005422240e+00
3.795799999999999841e+02 4.271383123007615801e+00
3.797900000000000205e+02 4.243522907181542791e+00
3.800000000000000000e+02 4.216128462150600775e+00
3.802099999999999795e+02 4.190382302020616123e+00
3.804200000000000159e+02 4.169474917217604215e+00
3.806399999999999864e+02 4.143806734091450394e+00
3.808500000000000227e+02 4.130261475080487799e+00
3.810600000000000023e+02 4.115154399362212168e+00
3.812699999999999818e+02 4.095836352362322685e+00
3.814800000000000182e+02 4.074145757741264084e+00
3.816999999999999886e+02 4.047535428840179250e+00
3.819100000000000250e+02 4.026652966936254963e+00
3.821200000000000045e+02 3.996077153285508832e+00
3.823299999999999841e+02 3.965936900661730657e+00
3.825400000000000205e+02 3.931514225620312164e+00
3.827500000000000000e+02 3.914406973706349824e+00
3.829700000000000273e+02 3.883417335988523789e+00
3.831800000000000068e+02 3.853741085578415770e+00
3.833899999999999864e+02 3.828140549232526890e+00
3.836000000000000227e+02 3.802481912165444289e+00
3.838100000000000023e+02 3.784662280486894126e+00
3.840299999999999727e+02 3.759804678950217749e+00
3.842400000000000091e+02 3.725075007134644345e+00
3.844499999999999886e+02 3.704158253521339539e+00
3.846600000000000250e+02 3.680426745573656788e+00
3.848700000000000045e+02 3.656460790250017467e+00
3.850799999999999841e+02 3.623350593983742041e+00
3.853000000000000114e+02 3.591713180264397121e+00
3.855099999999999909e+02 3.561457678423146866e+00
3.857200000000000273e+02 3.538832912689959365e+00
3.859300000000000068e+02 3.521061140570644454e+00
3.861399999999999864e+02 3.499843275141080401e+00
3.863500000000000227e+02 3.467841081939053716e+00
3.865699999999999932e+02 3.452466584085879919e+00
3.867799999999999727e+02 3.438512189951330011e+00
3.869900000000000091e+02 3.406851156413375215e+00
3.871999999999999886e+02 3.385189002032753525e+00
3.874100000000000250e+02 3.372196246105933159e+00
3.876200000000000045e+02 3.351512040303274542e+00
3.878399999999999750e+02 3.324098365115863540e+00
3.880500000000000114e+02 3.311549242547767946e+00
3.882599999999999909e+02 3.281893762097791711e+00
3.884700000000000273e+02 3.264384590932448482e+00
3.886800000000000068e+02 3.248078535163914982e+00
3.888899999999999864e+02 3.232804979233172560e+00
3.891100000000000136e+02 3.205830920518319083e+00
3.893199999999999932e+02 3.182769462926983817e+00
3.895299999999999727e+02 3.163863772215173231e+00
3.897400000000000091e+02 3.153750787317064930e+00
3.899499999999999886e+02 3.140081230150693514e+00
3.901600000000000250e+02 3.120476307950287520e+00
3.903700000000000045e+02 3.101488379112651739e+00
3.905899999999999750e+02 3.085888961536749964e+00
3.908000000000000114e+02 3.073125764931607939e+00
3.910099999999999909e+02 3.058557366923605692e+00
3.912200000000000273e+02 3.041639969184112058e+00
3.914300000000000068e+02 3.036326564659894700e+00
3.916399999999999864e+02 3.018105003160316713e+00
3.918500000000000227e+02 3.002852105051886600e+00
3.920699999999999932e+02 2.980677058655638145e+00
3.922799999999999727e+02 2.969033898062442667e+00
3.924900000000000091e+02 2.964702237906900351e+00
3.926999999999999886e+02 2.951958351772734357e+00
3.929100000000000250e+02 2.939641187138954059e+00
3.931200000000000045e+02 2.925677397611588848e+00
3.933299999999999841e+02 2.912705879225686800e+00
3.935500000000000114e+02 2.899643956450358218e+00
3.937599999999999909e+02 2.893083419414843593e+00
3.939700000000000273e+02 2.880481369041810957e+00
3.941800000000000068e+02 2.873515842741483528e+00
3.943899999999999864e+02 2.867517697394741383e+00
3.946000000000000227e+02 2.854649382645843225e+00
3.948100000000000023e+02 2.842748551622131359e+00
3.950199999999999818e+02 2.842135257213667998e+00
3.952400000000000091e+02 2.830031500725000537e+00
3.954499999999999886e+02 2.826431720266581848e+00
3.956600000000000250e+02 2.823307292540705227e+00
3.958700000000000045e+02 2.814099532912979651e+00
3.960799999999999841e+02 2.810780050740493863e+00
3.962900000000000205e+02 2.809320310800100806e+00
3.965000000000000000e+02 2.801641862236750935e+00
3.967099999999999795e+02 2.792581164601637411e+00
3.969300000000000068e+02 2.788115439183910915e+00
3.971399999999999864e+02 2.785351045226950095e+00
3.973500000000000227e+02 2.780022533174522970e+00
3.975600000000000023e+02 2.769907941151134256e+00
3.977699999999999818e+02 2.767856762524553815e+00
3.979800000000000182e+02 2.761461796871904628e+00
3.981899999999999977e+02 2.757313802471605957e+00
3.983999999999999773e+02 2.752232300762837092e+00
3.986100000000000136e+02 2.750088160447124785e+00
3.988299999999999841e+02 2.746237978815170511e+00
3.990400000000000205e+02 2.741826616639151837e+00
3.992500000000000000e+02 2.734711930817189440e+00
3.994599999999999795e+02 2.732265299219141408e+00
3.996700000000000159e+02 2.725605937506805798e+00
3.998799999999999955e+02 2.719380707069392500e+00
4.000899999999999750e+02 2.717488176981779358e+00
4.003000000000000114e+02 2.716480715231952114e+00
4.005099999999999909e+02 2.706852351320910177e+00
4.007200000000000273e+02 2.705649321637399574e+00
4.009399999999999977e+02 2.701172933888693617e+00
4.011499999999999773e+02 2.701736607997164974e+00
4.013600000000000136e+02 2.695823772886960956e+00
4.015699999999999932e+02 2.687076898396481006e+00
4.017799999999999727e+02 2.678686548796047617e+00
4.019900000000000091e+02 2.677134055219304365e+00
4.021999999999999886e+02 2.671191565592966555e+00
4.024100000000000250e+02 2.666809907656084278e+00
4.026200000000000045e+02 2.660021320700973746e+00
4.028299999999999841e+02 2.660956067551360604e+00
4.030400000000000205e+02 2.655297148261605678e+00
4.032500000000000000e+02 2.646599021999265222e+00
4.034700000000000273e+02 2.634338812573783439e+00
4.036800000000000068e+02 2.629057598352523062e+00
4.038899999999999864e+02 2.623096555945954922e+00
4.041000000000000227e+02 2.617002823744534634e+00
4.043100000000000023e+02 2.606813293235975326e+00
4.045199999999999818e+02 2.595875458580408690e+00
4.047300000000000182e+02 2.592283112337478990e+00
4.049399999999999977e+02 2.584511302928265586e+00
4.051499999999999773e+02 2.576121897535645022e+00
4.053600000000000136e+02 2.566985637286179678e+00
4.055699999999999932e+02 2.561063881914194873e+00
4.057799999999999727e+02 2.547031789067863095e+00
4.059900000000000091e+02 2.538133229799641732e+00
4.062099999999999795e+02 2.526256396406671101e+00
4.064200000000000159e+02 2.515529914795325173e+00
4.066299999999999955e+02 2.508869907239325681e+00
4.068399999999999750e+02 2.501416921778593316e+00
4.070500000000000114e+02 2.486009845893792036e+00
4.072599999999999909e+02 2.476124595803767647e+00
4.074700000000000273e+02 2.465052859024317478e+00
4.076800000000000068e+02 2.454501099530031372e+00
4.078899999999999864e+02 2.445684289526923738e+00
4.081000000000000227e+02 2.436332520448661665e+00
4.083100000000000023e+02 2.422684623562739947e+00
4.085199999999999818e+02 2.411469715075622133e+00
4.087300000000000182e+02 2.400088194779144146e+00
4.089399999999999977e+02 2.387041033771579723e+00
4.091499999999999773e+02 2.373908775704106855e+00
4.093600000000000136e+02 2.358727370984420979e+00
4.095799999999999841e+02 2.345897445154269789e+00
4.097900000000000205e+02 2.334760721912561010e+00
4.100000000000000000e+02 2.321968068503274196e+00
4.102099999999999795e+02 2.308880501804555063e+00
4.104200000000000159e+02 2.297180791279192835e+00
4.106299999999999955e+02 2.288633053517949545e+00
4.108399999999999750e+02 2.275791847372644838e+00
4.110500000000000114e+02 2.264057645353443782e+00
4.112599999999999909e+02 2.254475979173409250e+00
4.114700000000000273e+02 2.244836738409575982e+00
4.116800000000000068e+02 2.233297776868154116e+00
4.118899999999999864e+02 2.220102985974206078e+00
4.121000000000000227e+02 2.209857948035987896e+00
4.123100000000000023e+02 2.198241311713323931e+00
4.125199999999999818e+02 2.186968439318583091e+00
4.127300000000000182e+02 2.173069659538649834e+00
4.129399999999999977e+02 2.160978780714438940e+00
4.131499999999999773e+02 2.151115936326901679e+00
4.133600000000000136e+02 2.139369076815138548e+00
4.135699999999999932e+02 2.128432379767639659e+00
4.137799999999999727e+02 2.118099365243895083e+00
4.139900000000000091e+02 2.109404085443320476e+00
4.141999999999999886e+02 2.099793332760939268e+00
4.144100000000000250e+02 2.087254901094619974e+00
4.146200000000000045e+02 2.079550390911244051e+00
4.148299999999999841e+02 2.069559016935349494e+00
4.150400000000000205e+02 2.058940044838398098e+00
4.152599999999999909e+02 2.053967131375762367e+00
4.154700000000000273e+02 2.042739286122129627e+00
4.156800000000000068e+02 2.034473425149336823e+00
4.158899999999999864e+02 2.026097062583957609e+00
4.161000000000000227e+02 2.019008697518234641e+00
4.163100000000000023e+02 2.011747665997912105e+00
4.165199999999999818e+02 2.005079647349602645e+00
4.167300000000000182e+02 1.998918918860246086e+00
4.169399999999999977e+02 1.996268953650384370e+00
4.171499999999999773e+02 1.989594057838889762e+00
4.173600000000000136e+02 1.981940183626725194e+00
4.175699999999999932e+02 1.976059013366907369e+00
4.177799999999999727e+02 1.971531246594525832e+00
4.179900000000000091e+02 1.967157782865927906e+00
4.181999999999999886e+02 1.961572352124030250e+00
4.184100000000000250e+02 1.955751153129390740e+00
4.186200000000000045e+02 1.948587800537022297e+00
4.188299999999999841e+02 1.941042707850116011e+00
4.190400000000000205e+02 1.935874711868334819e+00
4.192500000000000000e+02 1.928709682477101728e+00
4.194599999999999795e+02 1.923814713136387411e+00
4.196700000000000159e+02 1.919151647919107972e+00
4.198799999999999955e+02 1.913191432218413590e+00
4.200899999999999750e+02 1.908871683799129082e+00
4.203000000000000114e+02 1.903523891673337465e+00
4.205099999999999909e+02 1.896788531626282470e+00
4.207200000000000273e+02 1.893560930553627175e+00
4.209300000000000068e+02 1.888593316816684409e+00
4.211399999999999864e+02 1.885862917422729712e+00
4.213500000000000227e+02 1.880987880056665285e+00
4.215600000000000023e+02 1.878048499517161130e+00
4.217699999999999818e+02 1.874115917129901332e+00
4.219800000000000182e+02 1.870780997243254751e+00
4.221899999999999977e+02 1.867292030690201887e+00
4.223999999999999773e+02 1.862491865265091695e+00
4.226100000000000136e+02 1.857068472202278109e+00
4.228199999999999932e+02 1.852144750400711359e+00
4.230299999999999727e+02 1.846770440215148135e+00
4.232400000000000091e+02 1.845668733114015136e+00
4.234499999999999886e+02 1.841657430971557208e+00
4.236600000000000250e+02 1.838835444475462655e+00
4.238700000000000045e+02 1.834168818692485159e+00
4.240799999999999841e+02 1.831183791288968798e+00
4.242799999999999727e+02 1.827485189294828283e+00
4.244900000000000091e+02 1.824560094928243670e+00
4.246999999999999886e+02 1.820644376563203437e+00
4.249100000000000250e+02 1.820421323709166428e+00
4.251200000000000045e+02 1.817269894134351693e+00
4.253299999999999841e+02 1.812947267072899660e+00
4.255400000000000205e+02 1.808682193104925284e+00
4.257500000000000000e+02 1.808739724673690485e+00
4.259599999999999795e+02 1.804704021862544971e+00
4.261700000000000159e+02 1.802636224304071888e+00
4.263799999999999955e+02 1.800015755649143845e+00
4.265899999999999750e+02 1.796288716919282491e+00
4.268000000000000114e+02 1.793508500521325821e+00
4.270099999999999909e+02 1.791898134010148969e+00
4.272200000000000273e+02 1.788777700286982020e+00
4.274300000000000068e+02 1.786921711917605959e+00
4.276399999999999864e+02 1.783681743946776699e+00
4.278500000000000227e+02 1.778796355786545824e+00
4.280600000000000023e+02 1.775074848219994283e+00
4.282699999999999818e+02 1.770423629822821976e+00
4.284800000000000182e+02 1.765574893090434916e+00
4.286899999999999977e+02 1.762677867280732169e+00
4.288999999999999773e+02 1.759277890692537927e+00
4.291100000000000136e+02 1.754352024135360955e+00
4.293199999999999932e+02 1.750824957935624315e+00
4.295299999999999727e+02 1.745308672319042076e+00
4.297400000000000091e+02 1.740526082800786245e+00
4.299399999999999977e+02 1.735366728661343894e+00
4.301499999999999773e+02 1.730275041131114078e+00
4.303600000000000136e+02 1.724798988240785480e+00
4.305699999999999932e+02 1.721504963666924404e+00
4.307799999999999727e+02 1.718147550960623882e+00
4.309900000000000091e+02 1.713157668011143109e+00
4.311999999999999886e+02 1.710758944938571613e+00
4.314100000000000250e+02 1.705357415449926028e+00
4.316200000000000045e+02 1.702882462791411866e+00
4.318299999999999841e+02 1.696878745327226490e+00
4.320400000000000205e+02 1.691640686065109422e+00
4.322500000000000000e+02 1.686196273020898806e+00
4.324599999999999795e+02 1.680479121663864817e+00
4.326700000000000159e+02 1.673323204575438261e+00
4.328799999999999955e+02 1.666649068428166514e+00
4.330899999999999750e+02 1.661641267803110722e+00
4.332900000000000205e+02 1.655401477961909951e+00
4.335000000000000000e+02 1.650289785353466598e+00
4.337099999999999795e+02 1.647250189379223961e+00
4.339200000000000159e+02 1.640124972231103317e+00
4.341299999999999955e+02 1.633635349183525598e+00
4.343399999999999750e+02 1.626840057915580173e+00
4.345500000000000114e+02 1.620887112815081021e+00
4.347599999999999909e+02 1.615710047117947745e+00
4.349700000000000273e+02 1.609600883349977529e+00
4.351800000000000068e+02 1.603141024412257476e+00
4.353899999999999864e+02 1.598836883239224127e+00
4.356000000000000227e+02 1.591345374953782921e+00
4.358100000000000023e+02 1.586907778471990493e+00
4.360099999999999909e+02 1.580894539638039609e+00
4.362200000000000273e+02 1.577326221393772210e+00
4.364300000000000068e+02 1.568825304524164022e+00
4.366399999999999864e+02 1.564261925804996345e+00
4.368500000000000227e+02 1.557579526023113781e+00
4.370600000000000023e+02 1.552461330615176216e+00
4.372699999999999818e+02 1.548704804315214512e+00
4.374800000000000182e+02 1.542946540332637673e+00
4.376899999999999977e+02 1.536134751046727365e+00
4.378999999999999773e+02 1.530696760337002083e+00
4.381100000000000136e+02 1.525604258030856419e+00
4.383100000000000023e+02 1.521581195109742435e+00
4.385199999999999818e+02 1.516001106443961577e+00
4.387300000000000182e+02 1.512026831997632881e+00
4.389399999999999977e+02 1.508253794484191390e+00
4.391499999999999773e+02 1.502300842609679998e+00
4.393600000000000136e+02 1.496200170381498662e+00
4.395699999999999932e+02 1.489527618144387944e+00
4.397799999999999727e+02 1.484918292719416666e+00
4.399900000000000091e+02 1.480598065524178164e+00
4.401999999999999886e+02 1.474331916098625683e+00
4.403999999999999773e+02 1.469756649778821256e+00
4.406100000000000136e+02 1.465795787463272770e+00
4.408199999999999932e+02 1.460020970087715808e+00
4.410299999999999727e+02 1.455596081294622923e+00
4.412400000000000091e+02 1.450568924032186402e+00
4.414499999999999886e+02 1.445374531005146013e+00
4.416600000000000250e+02 1.441007696914178737e+00
4.418700000000000045e+02 1.435027676570134414e+00
4.420799999999999841e+02 1.429933389002415067e+00
4.422799999999999727e+02 1.422845427109126204e+00
4.424900000000000091e+02 1.418568416360275641e+00
4.426999999999999886e+02 1.411782899737246577e+00
4.429100000000000250e+02 1.407052572696164461e+00
4.431200000000000045e+02 1.402169848040884403e+00
4.433299999999999841e+02 1.398827604925162893e+00
4.435400000000000205e+02 1.392661625242983980e+00
4.437500000000000000e+02 1.388446402430308257e+00
4.439499999999999886e+02 1.384882310642205017e+00
4.441600000000000250e+02 1.379899231583034735e+00
4.443700000000000045e+02 1.373546572032580793e+00
4.445799999999999841e+02 1.370324435812151576e+00
4.447900000000000205e+02 1.365797470301565619e+00
4.450000000000000000e+02 1.361285852500432547e+00
4.452099999999999795e+02 1.357207190374209782e+00
4.454200000000000159e+02 1.355982284730718357e+00
4.456200000000000045e+02 1.351272119189284249e+00
4.458299999999999841e+02 1.349146159424227776e+00
4.460400000000000205e+02 1.345594907622735370e+00
4.462500000000000000e+02 1.342654552490340603e+00
4.464599999999999795e+02 1.339171640771393390e+00
4.466700000000000159e+02 1.337484168268789464e+00
4.468799999999999955e+02 1.334744691702131059e+00
4.470799999999999841e+02 1.333290124616991035e+00
4.472900000000000205e+02 1.329379197748959962e+00
4.475000000000000000e+02 1.327940975286598713e+00
4.477099999999999795e+02 1.324422712345254105e+00
4.479200000000000159e+02 1.319738324105315552e+00
4.481299999999999955e+02 1.318918917440591088e+00
4.483399999999999750e+02 1.316615251228679062e+00
4.485400000000000205e+02 1.315377974124226856e+00
4.487500000000000000e+02 1.312406401104768694e+00
4.489599999999999795e+02 1.309843817910161912e+00
4.491700000000000159e+02 1.306945554796165254e+00
4.493799999999999955e+02 1.305876177586985376e+00
4.495899999999999750e+02 1.301804138743740680e+00
4.498000000000000114e+02 1.300824312285827400e+00
4.500000000000000000e+02 1.298407850451863466e+00
4.502099999999999795e+02 1.297716177121150727e+00
4.504200000000000159e+02 1.295592133742807572e+00
4.506299999999999955e+02 1.292066702946014667e+00
4.508399999999999750e+02 1.289503728443941677e+00
4.510500000000000114e+02 1.286944896663902993e+00
4.512500000000000000e+02 1.285524920375572089e+00
4.514599999999999795e+02 1.283450542037777309e+00
4.516700000000000159e+02 1.280074346897076110e+00
4.518799999999999955e+02 1.277286952628911010e+00
4.520899999999999750e+02 1.274056182674120130e+00
4.523000000000000114e+02 1.271231786920199447e+00
4.525000000000000000e+02 1.267076325153761340e+00
4.527099999999999795e+02 1.264965451163781340e+00
4.529200000000000159e+02 1.263322183500984242e+00
4.531299999999999955e+02 1.259651243212026595e+00
4.533399999999999750e+02 1.257656791793325901e+00
4.535400000000000205e+02 1.255346638211484844e+00
4.537500000000000000e+02 1.253508137027600888e+00
4.539599999999999795e+02 1.250295639388418367e+00
4.541700000000000159e+02 1.249416596611608865e+00
4.543799999999999955e+02 1.246702050151813124e+00
4.545899999999999750e+02 1.244711146451568107e+00
4.547900000000000205e+02 1.243263187536979064e+00
4.550000000000000000e+02 1.243196042495052556e+00
4.552099999999999795e+02 1.239613021909399482e+00
4.554200000000000159e+02 1.238827952723253745e+00
4.556299999999999955e+02 1.238303253903123347e+00
4.558299999999999841e+02 1.236772848536166425e+00
4.560400000000000205e+02 1.233908748599499949e+00
4.562500000000000000e+02 1.233613188672938232e+00
4.564599999999999795e+02 1.231907378563668054e+00
4.566700000000000159e+02 1.230788336357064860e+00
4.568799999999999955e+02 1.229551699805679688e+00
4.570799999999999841e+02 1.229497734444972235e+00
4.572900000000000205e+02 1.226753180687346179e+00
4.575000000000000000e+02 1.224974146842350065e+00
4.577099999999999795e+02 1.222772937916333902e+00
4.579200000000000159e+02 1.221842523881782272e+00
4.581200000000000045e+02 1.218986374846737997e+00
4.583299999999999841e+02 1.217981875668591618e+00
4.585400000000000205e+02 1.217061418100272352e+00
4.587500000000000000e+02 1.215361821033726031e+00
4.589599999999999795e+02 1.214539585250586473e+00
4.591600000000000250e+02 1.212810357927609495e+00
4.593700000000000045e+02 1.212849596450709555e+00
4.595799999999999841e+02 1.210210401586999662e+00
4.597900000000000205e+02 1.209424776747484609e+00
4.599900000000000091e+02 1.206561761176228043e+00
4.601999999999999886e+02 1.205018295436991016e+00
4.604100000000000250e+02 1.203015670491725864e+00
4.606200000000000045e+02 1.201832587965467880e+00
4.608299999999999841e+02 1.200007816685097151e+00
4.610299999999999727e+02 1.197144431521444563e+00
4.612400000000000091e+02 1.194605574037811424e+00
4.614499999999999886e+02 1.193592783043520456e+00
4.616600000000000250e+02 1.190342915373720389e+00
4.618700000000000045e+02 1.187671238643293048e+00
4.620699999999999932e+02 1.185144931369728649e+00
4.622799999999999727e+02 1.183435870475559204e+00
4.624900000000000091e+02 1.180606092606579782e+00
4.626999999999999886e+02 1.178027712021871620e+00
4.628999999999999773e+02 1.174206752188441616e+00
4.631100000000000136e+02 1.172662883959505242e+00
4.633199999999999932e+02 1.169961403300859848e+00
4.635299999999999727e+02 1.166940371677219979e+00
4.637300000000000182e+02 1.163937135326754913e+00
4.639399999999999977e+02 1.160982020061306796e+00
4.641499999999999773e+02 1.157964046411585901e+00
4.643600000000000136e+02 1.154432718231025001e+00
4.645699999999999932e+02 1.151214468042321082e+00
4.647699999999999818e+02 1.147362809804828521e+00
4.649800000000000182e+02 1.145404464884116180e+00
4.651899999999999977e+02 1.141472939728927383e+00
4.653999999999999773e+02 1.138158046230376641e+00
4.656000000000000227e+02 1.134217679817111524e+00
4.658100000000000023e+02 1.131119763245376664e+00
4.660199999999999818e+02 1.127650392767670429e+00
4.662300000000000182e+02 1.123458192153856894e+00
4.664300000000000068e+02 1.119948439237377302e+00
4.666399999999999864e+02 1.115899423846839378e+00
4.668500000000000227e+02 1.111795175200212871e+00
4.670600000000000023e+02 1.107657719588144296e+00
4.672599999999999909e+02 1.103135346023621954e+00
4.674700000000000273e+02 1.099403578678458615e+00
4.676800000000000068e+02 1.094288199372744685e+00
4.678899999999999864e+02 1.090154740556443347e+00
4.680899999999999750e+02 1.086512115032286729e+00
4.683000000000000114e+02 1.082436128730239755e+00
4.685099999999999909e+02 1.078120078304339202e+00
4.687200000000000273e+02 1.074951715755511072e+00
4.689200000000000159e+02 1.070606203102312914e+00
4.691299999999999955e+02 1.066609287700996056e+00
4.693399999999999750e+02 1.062055213207417692e+00
4.695500000000000114e+02 1.057480230050534820e+00
4.697500000000000000e+02 1.052510890720006254e+00
4.699599999999999795e+02 1.047527160946537084e+00
4.701700000000000159e+02 1.043075188765526073e+00
4.703700000000000045e+02 1.039064003422170313e+00
4.705799999999999841e+02 1.034622915578491398e+00
4.707900000000000205e+02 1.029823973723439590e+00
4.710000000000000000e+02 1.025383008825497821e+00
4.711999999999999886e+02 1.020467257046900666e+00
4.714100000000000250e+02 1.014947099944249587e+00
4.716200000000000045e+02 1.010382720538071766e+00
